raw_input,set,game,server,game_in_match,ball_in_game,ball_in_set,win_type,shot_type,location,player,result,comment
UVNOW5,1,1,Fredrik,1,1,1,,,,,,
SONFL8,1,1,Fredrik,2,2,2,,,,,,
UBNAL3,1,1,Fredrik,3,3,3,,,,,,
SVNFL3,1,1,Fredrik,4,4,4,,,,,,
SONFL3,1,1,Fredrik,5,5,5,,,,,,
SONAW5,1,2,Simon,1,6,6,,,,,,
UVGSL6,1,2,Simon,2,7,7,,,,,,
UBGFW2,1,2,Simon,3,8,8,,,,,,
SONSW3,1,2,Simon,4,9,9,,,,,,
PVGAL6,1,2,Simon,5,10,10,,,,,,
UONFW6,1,2,Simon,6,11,11,,,,,,
PVGSL,1,3,Olle,1,12,12,,,,,,
SBNAW,1,3,Olle,2,13,13,,,,,,
UVGOW,1,3,Olle,3,14,14,,,,,,
UBNAL,1,3,Olle,4,15,15,,,,,,
PVNOW,1,3,Olle,5,16,16,,,,,,
UONOW,1,3,Olle,6,17,17,,,,,,
PVNSL,1,4,Anton,1,18,18,,,,,,
UBGFW,1,4,Anton,2,19,19,,,,,,
SONSW,1,4,Anton,3,20,20,,,,,,
PONSL,1,4,Anton,4,21,21,,,,,,
UOGOW,1,4,Anton,5,22,22,,,,,,
UBGOW,1,4,Anton,6,23,23,,,,,,
SBNSW,1,5,Fredrik,1,24,24,,,,,,
UONFW,1,5,Fredrik,2,25,25,,,,,,
UVNOW,1,5,Fredrik,3,26,26,,,,,,
UBNSL,1,5,Fredrik,4,27,27,,,,,,
SVNAW,1,5,Fredrik,5,28,28,,,,,,
UBNAL,1,6,Simon,1,29,29,,,,,,
PVGSL,1,6,Simon,2,30,30,,,,,,
PVGFW,1,6,Simon,3,31,31,,,,,,
SONSW,1,6,Simon,4,32,32,,,,,,
UBGFW,1,6,Simon,5,33,33,,,,,,
UBNOW,1,6,Simon,6,34,34,,,,,,
SVNOL,1,7,Olle,1,35,35,,,,,,
UBGSL,1,7,Olle,2,36,36,,,,,,
UOGFW,1,7,Olle,3,37,37,,,,,,
SONFL,1,7,Olle,4,38,38,,,,,,
SONOL,1,7,Olle,5,39,39,,,,,,
SBNSW,1,8,Anton,1,40,40,,,,,,
UVGFW,1,8,Anton,2,41,41,,,,,,
UBNOW,1,8,Anton,3,42,42,,,,,,
SBNAW,1,8,Anton,4,43,43,,,,,,
PVNSW,2,1,Fredrik,1,44,1,,,,,,
PBNOW,2,1,Fredrik,2,45,2,,,,,,
UVNSL,2,1,Fredrik,3,46,3,,,,,,
UBGSL,2,1,Fredrik,4,47,4,,,,,,
UVNSL,2,1,Fredrik,5,48,5,,,,,,
PVGOW,2,1,Fredrik,6,49,6,,,,,,
PBGAL,2,1,Fredrik,7,50,7,,,,,,
UBNOW,2,1,Fredrik,8,51,8,,,,,,
UBGOW,2,1,Fredrik,9,52,9,,,,,,
UBGSL,2,1,Fredrik,10,53,10,,,,,,
UVGFW,2,1,Fredrik,11,54,11,,,,,,
UVNAL,2,1,Fredrik,12,55,12,,,,,,
UBGSL,2,1,Fredrik,13,56,13,,,,,,
UBGSL,2,1,Fredrik,14,57,14,,,,,,
UBNOW,2,2,Simon,1,58,15,,,,,,
PVNOW,2,2,Simon,2,59,16,,,,,,
SB-FL,2,2,Simon,3,60,17,,,,,,
UVGSL,2,2,Simon,4,61,18,,,,,,
SV-FL,2,2,Simon,5,62,19,,,,,,
UBNOW,2,2,Simon,6,63,20,,,,,,
UBNOW,2,2,Simon,7,64,21,,,,,,
UBGOW,2,2,Simon,8,65,22,,,,,,
UVGSL,2,3,Olle,1,66,23,,,,,,
UB-OW,2,3,Olle,2,67,24,,,,,,
UVGOW,2,3,Olle,3,68,25,,,,,,
UVGOW,2,3,Olle,4,69,26,,,,,,
UONFW,2,3,Olle,5,70,27,,,,,,
PB-OL,2,4,Anton,1,71,28,,,,,,
UB-AL,2,4,Anton,2,72,29,,,,,,
PBNOW,2,4,Anton,3,73,30,,,,,,
UONAL,2,4,Anton,4,74,31,,,,,,
PVNOW,2,4,Anton,5,75,32,,,,,,
PBGOW,2,4,Anton,6,76,33,,,,,,
UBGFW,2,4,Anton,7,77,34,,,,,,
PBNOW,2,4,Anton,8,78,35,,,,,,
UONFW,2,5,Fredrik,1,79,36,,,,,,
PVGFW,2,5,Fredrik,2,80,37,,,,,,
SO-AW,2,5,Fredrik,3,81,38,,,,,,
UOGOW,2,5,Fredrik,4,82,39,,,,,,
PVNOW,2,6,Simon,1,83,40,,,,,,
UBGOW,2,6,Simon,2,84,41,,,,,,
PVNAL,2,6,Simon,3,85,42,,,,,,
SO-AW,2,6,Simon,4,86,43,,,,,,
UBGFW,2,6,Simon,5,87,44,,,,,,
PVGSL,2,6,Simon,6,88,45,,,,,,
PB-AW,2,6,Simon,7,89,46,,,,,,
UBGOW,2,6,Simon,8,90,47,,,,,,
PV-FW,2,6,Simon,9,91,48,,,,,,
UONFW,2,6,Simon,10,92,49,,,,,,
UONSL,3,1,Anton,1,93,1,,,,,,
UVGSL,3,1,Anton,2,94,2,,,,,,
UVNAL,3,1,Anton,3,95,3,,,,,,
UB-AL,3,1,Anton,4,96,4,,,,,,
PB-SL,3,2,Fredrik,1,97,5,,,,,,
SO-FL,3,2,Fredrik,2,98,6,,,,,,
PBNOW,3,2,Fredrik,3,99,7,,,,,,
PV-FL,3,2,Fredrik,4,100,8,,,,,,
PVGOW,3,2,Fredrik,5,101,9,,,,,,
PV-FW,3,2,Fredrik,6,102,10,,,,,,
UBNAL,3,2,Fredrik,7,103,11,,,,,,
PV-AW,3,2,Fredrik,8,104,12,,,,,,
SB-OL,3,2,Fredrik,9,105,13,,,,,,
UBNSL,3,2,Fredrik,10,106,14,,,,,,
PB-AL,3,3,Simon,1,107,15,,,,,,
PVGFW,3,3,Simon,2,108,16,,,,,,
PVNOW,3,3,Simon,3,109,17,,,,,,
PBNOW,3,3,Simon,4,110,18,,,,,,
UBNOW,3,3,Simon,5,111,19,,,,,,
PVNOW,3,3,Simon,6,112,20,,,,,,
SB-SW,3,3,Simon,7,113,21,,,,,,
PVNOW,3,4,Olle,1,114,22,,,,,,
PB-SW,3,4,Olle,2,115,23,,,,,,
SB-AW,3,4,Olle,3,116,24,,,,,,
UBGSL,3,4,Olle,4,117,25,,,,,,
SV-AW,3,4,Olle,5,118,26,,,,,,
PVNFW,3,5,Anton,1,119,27,,,,,,
UBGAL,3,5,Anton,2,120,28,,,,,,
PB-OL,3,5,Anton,3,121,29,,,,,,
PVNOW,3,5,Anton,4,122,30,,,,,,
UVGAL,3,5,Anton,5,123,31,,,,,,
UVNSL,3,5,Anton,6,124,32,,,,,,
SO-FL,3,6,Fredrik,1,125,33,,,,,,
PBGSL,3,6,Fredrik,2,126,34,,,,,,
UONOW,3,6,Fredrik,3,127,35,,,,,,
PBGSL,3,6,Fredrik,4,128,36,,,,,,
PBGAL,3,6,Fredrik,5,129,37,,,,,,
PBGSW,3,7,Simon,1,130,38,,,,,,
SO-AW,3,7,Simon,2,131,39,,,,,,
UONAL,3,7,Simon,3,132,40,,,,,,
PV-SW,3,7,Simon,4,133,41,,,,,,
PBNOW,3,7,Simon,5,134,42,,,,,,
PVNSL,3,8,Olle,1,135,43,,,,,,
UBNSL,3,8,Olle,2,136,44,,,,,,incorrect result at court. Thought it was 15-15 but in reality it was 30-0. 
PO-FL,3,8,Olle,3,137,45,,,,,,
UB-OW,3,8,Olle,4,138,46,,,,,,
PVGFW,3,8,Olle,5,139,47,,,,,,
PVNFW,3,8,Olle,6,140,48,,,,,,
SV-AW,3,9,Anton,1,141,49,,,,,,
PBNAL,3,9,Anton,2,142,50,,,,,,
PBGSL,3,9,Anton,3,143,51,,,,,,
UBNSL,3,9,Anton,4,144,52,,,,,,
PVNSL,3,9,Anton,5,145,53,,,,,,
PO-OL,3,10,Fredrik,1,146,54,,,,,,
SO-FL,3,10,Fredrik,2,147,55,,,,,,
PVGOW,3,10,Fredrik,3,148,56,,,,,,
PV-SL,3,10,Fredrik,4,149,57,,,,,,
PVGSL,3,10,Fredrik,5,150,58,,,,,,
